date, pm25, o3, no2, so2, co
2021/1/25, 41, , , , 9
2021/1/26, 52, , , , 9
2021/1/27, 63, , , , 9
2021/1/28, 57, , , , 9
2021/1/29, 68, , , , 8
2021/1/30, 41, , , , 9
2021/1/31, 43, , , , 8
2021/2/1, 63, , , , 8
2021/2/2, 51, 8, , , 8
2021/2/3, 50, , , , 10
2021/2/4, 58, , , , 9
2021/2/5, 54, , , , 9
2021/2/6, 45, , , , 9
2021/2/7, 53, , , , 9
2021/2/8, 80, , , , 9
2021/2/9, 65, , , , 9
2021/2/10, 54, , , , 9
2021/2/11, 48, , , , 8
2021/2/12, 47, , , , 9
2021/2/13, 52, , , , 9
2021/2/14, 52, , , , 10
2021/2/15, 66, , , , 9
2021/2/16, 72, , , , 9
2021/2/17, 58, 7, , , 8
2021/2/18, 48, 8, , , 9
2021/2/19, 92, 24, , 6, 14
2021/2/20, 43, 19, , , 5
2021/2/21, 40, 16, , , 5
2021/2/22, 47, 11, , , 5
2021/2/23, 53, 8, , , 5
2021/2/24, 50, 10, , , 5
2021/2/25, 43, 12, , , 4
2021/2/26, 47, 10, , , 5
2021/2/27, 47, 13, , , 5
2021/2/28, 52, 11, , , 5
2021/3/1, 47, 10, , , 5
2021/3/2, 62, 10, , , 5
2021/3/3, 71, 10, , , 5
2021/3/4, 51, 12, , , 5
2021/3/5, 34, 11, , , 6
2021/3/6, 54, 12, , , 6
2021/3/7, 28, , , , 
2021/3/8, 80, 21, , , 3
2021/3/9, 47, 20, , , 5
2021/3/10, 39, 19, , , 5
2021/3/11, 54, 17, , , 5
2021/3/12, 59, 18, , , 4
2021/3/13, 43, 19, , , 5
